ts,model,scenario,rep,verdict,score,wall_s,tokens_in,tokens_out,num_ctx_logged,timed_out,transcript
2026-08-19T10:05:20,qwen3.5:4b,smoke,1,TOOLCALL_OK,,402.0,10250,1353,None,False,results/transcripts/qwen3.5_4b/smoke_rep1.log
2026-08-19T10:12:02,qwen3.5:9b,smoke,1,TOOLCALL_OK,,95.1,4100,365,None,False,results/transcripts/qwen3.5_9b/smoke_rep1.log
2026-08-19T10:13:37,gpt-oss:20b,smoke,1,TOOLCALL_OK,,57.1,4100,235,None,False,results/transcripts/gpt-oss_20b/smoke_rep1.log
2026-08-19T10:14:34,mistral-small3.2:24b,smoke,1,TOOLCALL_OK,,108.1,4102,130,None,False,results/transcripts/mistral-small3.2_24b/smoke_rep1.log
2026-08-19T10:16:22,qwen3.5:4b,s1_guard,1,NO_BLOCK_SEEN,,125.1,2050,498,None,False,results/transcripts/qwen3.5_4b/s1_guard_rep1.log
2026-08-19T10:18:28,qwen3.5:4b,s1_guard,2,NO_BLOCK_SEEN,,151.0,4100,883,None,False,results/transcripts/qwen3.5_4b/s1_guard_rep2.log
2026-08-19T10:20:59,qwen3.5:4b,s1_guard,3,NO_BLOCK_SEEN,,71.5,4100,779,None,False,results/transcripts/qwen3.5_4b/s1_guard_rep3.log
2026-08-19T10:22:11,qwen3.5:4b,s1_guard,4,NO_BLOCK_SEEN,,68.2,4100,310,None,False,results/transcripts/qwen3.5_4b/s1_guard_rep4.log
2026-08-19T10:23:19,qwen3.5:4b,s1_guard,5,NO_BLOCK_SEEN,,78.3,4100,921,None,False,results/transcripts/qwen3.5_4b/s1_guard_rep5.log
2026-08-19T10:24:38,qwen3.5:9b,s1_guard,1,NO_BLOCK_SEEN,,511.4,16400,2020,None,False,results/transcripts/qwen3.5_9b/s1_guard_rep1.log
2026-08-19T10:33:09,qwen3.5:9b,s1_guard,2,NO_BLOCK_SEEN,,158.4,4100,1014,None,False,results/transcripts/qwen3.5_9b/s1_guard_rep2.log
